Date,CO,SO2,O3,AQI,latitude,longitude
16-04-2024,0.61,4.72,40.44,65,12.972149,79.162533
16-04-2024,0.38,5.51,48,66,12.972149,79.162533
16-04-2024,0.41,7.54,61.59,96,12.972149,79.162533
16-04-2024,0.51,5.01,46.14,68,12.972149,79.162533
16-04-2024,0.52,6.62,53.13,76,12.972149,79.162533
16-04-2024,0.4,4.9,44.36,70,12.972149,79.162533
16-04-2024,0.41,5.6,47.28,75,12.972149,79.162533
16-04-2024,0.33,6.52,44.77,73,12.972149,79.162533
16-04-2024,0.63,6.53,37.35,85,12.972149,79.162533
16-04-2024,0.37,4.65,65.23,83,12.972149,79.162533
16-04-2024,0.46,5.17,54.03,73,12.972149,79.162533
16-04-2024,0.37,5.69,61.43,75,12.972149,79.162533
16-04-2024,0.36,5.36,53.27,63,12.972149,79.162533
16-04-2024,0.39,6.75,54.84,62,12.972149,79.162533
16-04-2024,0.64,8.77,37.76,79,12.972149,79.162533
16-04-2024,0.69,6.51,32.73,73,12.972149,79.162533
16-04-2024,0.62,10.42,26.08,86,12.972149,79.162533
16-04-2024,0.55,9.13,27.44,100,12.972149,79.162533
16-04-2024,0.57,10.97,29.93,85,12.972149,79.162533
16-04-2024,0.44,9.64,25.7,85,12.972149,79.162533
16-04-2024,0.54,6.69,31.12,85,12.972149,79.162533
16-04-2024,0.47,12.6,23.43,106,12.972149,79.162533
16-04-2024,0.34,6.74,29.91,100,12.972149,79.162533
16-04-2024,0.43,12.46,28.73,68,12.972149,79.162533
16-04-2024,0.5,8.64,26.4,61,12.972149,79.162533
16-04-2024,0.38,11.1,30.57,71,12.972149,79.162533
16-04-2024,0.95,2.9,17.6,77,12.972149,79.162533
16-04-2024,0.8,11.49,22.14,111,12.972149,79.162533
16-04-2024,0.88,8.35,16.01,60,12.972149,79.162533
16-04-2024,0.96,11.82,26.34,63,12.972149,79.162533
16-04-2024,1.2,9.05,24.93,112,12.972149,79.162533
16-04-2024,1.08,8.39,17.77,75,12.972149,79.162533
16-04-2024,1.36,9.46,23.34,89,12.972149,79.162533
16-04-2024,1.1,10.01,22.54,76,12.972149,79.162533
16-04-2024,0.95,10.12,22.85,78,12.972149,79.162533
16-04-2024,0.87,9.24,20.67,66,12.972149,79.162533
16-04-2024,0.95,9.76,24.54,61,12.972149,79.162533
16-04-2024,1.18,8.89,29.44,83,12.972149,79.162533
16-04-2024,1.39,9.78,29.76,87,12.972149,79.162533
16-04-2024,1.4,11.98,28.1,97,12.972149,79.162533
16-04-2024,1.68,11.17,27.98,98,12.972149,79.162533
16-04-2024,1.71,11.64,24.36,99,12.972149,79.162533
16-04-2024,1.64,11.8,29.05,94,12.972149,79.162533
16-04-2024,1.68,11.54,26.93,98,12.972149,79.162533
17-04-2024,1.82,12.89,29.25,102,12.972149,79.162533
17-04-2024,1.57,11.73,31.81,96,12.972149,79.162533
17-04-2024,1.48,11.06,35.61,90,12.972149,79.162533
17-04-2024,1.54,10.21,28.77,106,12.972149,79.162533
17-04-2024,,,,82,12.972149,79.162533
17-04-2024,1.11,8.91,30.15,88,12.972149,79.162533
17-04-2024,0.76,10.9,38.55,103,12.972149,79.162533
17-04-2024,0.62,11.29,37.87,76,12.972149,79.162533
17-04-2024,0.78,8.91,34.81,68,12.972149,79.162533
17-04-2024,0.66,9.58,39.56,75,12.972149,79.162533
17-04-2024,1.34,10.48,41.51,89,12.972149,79.162533
17-04-2024,0.81,11.24,42.2,79,12.972149,79.162533
17-04-2024,0.65,13.38,25.95,65,12.972149,79.162533
17-04-2024,17.03,3.69,7.57,302,12.972149,79.162533
17-04-2024,17.01,6.45,12.13,302,12.972149,79.162533
17-04-2024,17.04,6.13,18.2,301,12.972149,79.162533
17-04-2024,16.97,8.87,16.53,302,12.972149,79.162533
17-04-2024,16.97,9.89,22.55,301,12.972149,79.162533
17-04-2024,16.95,6.88,33.58,302,12.972149,79.162533
17-04-2024,16.94,8.56,40.65,301,12.972149,79.162533
17-04-2024,17,15.13,34.18,301,12.972149,79.162533
